action,n.行为；作用  
adjust,vt.调整；使适合  
allergy,n.过敏症  
arid,a.干旱的；贫瘠的  
aroma,n.香气  
assign,vt.指派；分配；布置  
associate,v.关联；结交a.副的n.伙伴a.准的  
athlete,n.运动员  
aviation,n.航空；飞行  
bedrock,n.基础；基石  
cardinal,a.主要的n.红衣凤头鸟  
carnivore,n.肉食动物  
census,n.人口普查  
certificate,n.证(明)书  
complex,a.综合的；错综的；难以理解的n.综合体  
contract,n.合同v.订合同；收缩  
convex,a.凸出的  
course,n.课程；过程；路线；一道菜  
criticize,v.批评  
dealer,n.商人  
defecate,vi.排粪；通大便  
dismay,v./n.(使)气馁  
drastic,a.剧烈的  
flake,n.薄片v.使成薄片；雪片般落下  
float,v.(使)漂浮  
flourish,vi.繁荣  
geology,n.地质学  
glaze,vt.上釉n.釉  
grading,n.评分；等级  
harsh,a.恶劣的；刺耳的  
hind,a.后面的  
hominid,n./a.原始人类(的)  
hypothesis,n.假设  
illegible,a.难以辨认的  
incoming,a.引入的  
individual,a.单独的；独特的n.个人  
inherit,vt.继承  
instruct,vt.指示；教授  
insulate,vt.使隔离  
intellectual,n.知识分子a.智力的  
legend,n.传奇故事  
legible,a.清楚的；易读的  
lime,n.石灰  
livelihood,n.生计  
lizard,n.蜥蜴  
male,a.男(雄)的n.男子；雄性动物  
maturity,n.成熟  
militant,a.好战的  
mosaic,n.马赛克；镶嵌工艺  
motivation,n.动力；动机；刺激  
overwhelm,vt.淹没；压倒  
paraphrase,n.释义vt.解释；改写  
pebble,n.鹅卵石  
posthumous,a.死后的  
preoccupation,n.主要考虑因素；全神贯注  
prepare,v.准备  
privilege,vt.给予特权  
publicize,vt.宣传；宣扬  
realistic,a.现实(主义)的  
recipe,n.食谱；方法  
region,n.地区；层  
rekindle,vt.再点火；使再振作  
relevant,a.相关的  
rental,n.租金额；租赁  
represent,vt.代表；表现；描绘  
revision,n.修订  
rite,n.仪式  
rugged,a.崎岖的；(生活)艰难的  
sanitation,n.卫生；卫生设施  
senior,a.地位较高的n.较年长者；四年级学生  
skeletal,a.骨骼的  
stark,a.赤裸的；十足的  
strike,v.打；侵袭n.罢工  
sunset,n.日落  
swell,vt.增大  
tactic,n.手段；战术  
tragedy,n.灾难；悲剧  
undertake,v.承担；进行  
unique,a.唯一的；独特的  
vestige,n.痕迹  
wax,n.蜡
