absorption,n.吸收；专心  
accomplish,v.达到；完成；实现  
adjunct,n.附加物，附件  
appointment,n.约会；约定  
approximate,v.近似a.大约的  
archaeology,n.考古学  
attribute,n.属性v.把…归结于  
barter,n./v.实物交易  
besiege,v.包围  
boost,v.提高，推进  
bouquet,n.花束  
broadcast,n./v.广播  
calm,a.平静的；镇静的v.使平静  
chief,n.首领a.主要的；总的  
collision,n.碰撞，冲突  
conflict,n.冲突；不一致；争论v.冲突；不一致；争论  
continent,n.大陆  
convict,v.定罪，宣告…有罪  
cookout,n.野外郊游时烹调的野餐a.野外烹饮聚会的  
critical,a.批评的；非常重要的；危急的  
cylinder,n.圆柱体；气缸  
decay,v./n.腐烂；衰落  
derive,v.得自；源于  
dessert,n.甜点  
dispersal,n.疏散，散开  
domesticate,v.驯养，驯化  
drag,v.拖动  
due,a.到期的；由于；预订的  
elicit,v.得出，引出  
escape,v.逃脱；避开  
eviscerate,v.取出内脏；除去主要部分  
fin,n.鳍  
format,n.设计；安排；样式v.使格式化  
gorilla,n.大猩猩  
healthful,a.有益健康的  
hide,v.躲藏；掩藏n.兽皮  
hinterland,n.内地；内地贸易区  
hypothesize,v.假定，假设  
ignorant,a.无知的；不知道的  
integral,a.构成整体所必需的；不可分割的  
lash,v.将…系牢；猛烈打击  
layout,n.规划，布局  
locally,ad.在本地  
lure,v.吸引n.诱惑力  
magnet,n.磁铁，磁体  
minute,a.微小的；详细的  
modem,n.调制解调器  
neuron,n.神经元  
noticeable,a.明显的；值得注意的  
notwithstanding,ad./prep.虽然，尽管如此  
opposite,a.对立的n.相反的事物  
overlap,v.交叠  
periphery,n.外围  
prairie,n.大草原  
predator,n.食肉动物  
predict,v.预言，预测  
predictable,a.可预见的  
prehistoric,a.史前的；陈旧的  
previous,a.先的，在前的  
primitive,a.原始的，远古的  
prodigious,a.巨大的  
professional,a.职业的；专业的n.专业人员  
ration,n.配给量，定量  
raven,n.大乌鸦；掠夺v.掠夺  
remark,v.评论；谈论n.评论  
require,v.需要；要求；规定  
resistance,n.抵抗；抵抗力；电阻  
responsible,a.有责任感的；负责的  
Saturn,n.土星  
save,v.拯救；保存；节省prep.除…之外  
seasonal,a.季节的  
sprout,v.萌芽，长出  
stalk,n.茎，柄  
stiff,a.硬的；呆板的  
theory,n.理论；学说  
transplant,v.迁移；移植n.移植  
tunnel,n.隧道v.开隧道  
undergo,v.经历；遭受  
velocity,n.速度  
versatile,a.多才多艺的；多用途的
