以下是Word List 11的内容，按照指定格式提取：

absorb,v.吸收
acknowledge,v.承认；对…表示感谢
ambitious,j.有雄心的
amenity,n.生活福利设施；愉快
applaud,v.鼓掌喝彩；称赞
avalanche,n.雪崩；山崩
bald,j.光秃的
barrier,n.栅栏；屏障
bolster,n.垫子；v.支持
cargo,n.货物
carve,v.切；雕刻
ceramic,n.陶器
commitment,n.承诺；支持；致力
conclude,v.作出结论；使…完毕
confer,v.授予
crawl,v.爬行
deception,n.欺骗
destructive,j.破坏性的
dictate,v.规定；决定
division,n.划分；除法
editorial,n.社论；j.社论的
electrode,n.电极
emit,v.发出；放射
enactment,n.制定
erect,j.直立的；v.建立
excursion,n.远足
exhaust,v.耗尽；n.废气
favor,n.好意；喜爱
favored,j.有利的；受优待的
ferment,v.使发酵
fertile,j.肥沃的；能繁殖的
fertilizer,n.肥料
forecast,v.预报；n.预测
genesis,n.起源
healing,j.有治疗功用的
inactivate,v.使不活动
insult,v.侮辱；n.凌辱
invertebrate,n.无脊椎动物
latter,j.后面的；后期的
listless,j.倦怠的
mature,j.成熟的；v.使成熟
mechanist,n.机械论者
merchandise,n.商品
minority,n.少数；少数民族
orbit,n.轨道
packed,j.拥挤的；压紧的
parking,n.机动车停放；停车场
pave,v.铺；密布
personal,j.个人的；亲自的
preliminary,j.预备的
psychology,n.心理学；心理
receptacle,n.容器
rehearse,v.预演
reliever,n.救济者；缓解物
resist,v.抵抗；耐
revolt,v.反叛；n.起义
rhythm,n.节奏
ribbon,n.色带；带状物
segregate,v.隔离；分离
significant,j.有意义的；重要的
skeptical,j.怀疑的
solution,n.溶液；解答
soprano,n.女高音
spun,j.拉成丝的
sterile,j.贫瘠的；无菌的
subtle,j.细微的
survey,n.调查
swallow,n.燕子；v.吞
thorn,n.刺
thrive,v.茂盛；茁壮成长
trash,n.废物
troupe,n.剧团
twine,n.细绳
utmost,j.最大限度的
vacancy,n.空余住处；空位
valid,j.有根据的；有效的
vapor,n.蒸气
verbal,j.口头的
voyage,n.旅行；航程
yield,v.出产；n.产量
